user_id	product_id	user_review_count	rating	year	month	day	label
131	266	16	9	5.0	2019	2	10	1
132	6	16	8	5.0	2019	4	19	1
133	232	1	13	5.0	2019	4	19	1
134	373	1	215	5.0	2019	4	17	1
135	336	1	40	5.0	2019	4	16	1
136	147	1	126	3.0	2019	4	13	1
137	371	1	136	4.0	2019	3	4	1
138	34	1	65	5.0	2019	4	3	1
139	176	1	232	4.0	2019	2	9	1
140	317	1	131	4.0	2019	4	3	1
141	233	1	755	4.0	2019	2	12	1
142	167	1	228	4.0	2019	2	5	1
143	77	1	116	5.0	2019	3	15	1
144	271	1	287	5.0	2018	12	3	1
145	252	1	166	3.0	2018	12	16	1
146	44	1	132	5.0	2019	2	18	1
147	4	1	294	4.0	2018	10	29	1
148	16	1	31	5.0	2019	4	9	1
149	161	1	70	5.0	2018	10	19	1
150	165	1	275	4.0	2019	3	28	1
151	231	1	12	5.0	2019	4	19	1
152	46	1	87	4.0	2018	9	24	1
153	236	17	354	4.0	2019	1	4	1
154	205	17	5	1.0	2019	2	21	0
155	295	17	34	4.0	2018	12	27	1
156	153	17	3034	3.0	2018	10	21	1
157	175	17	19	1.0	2019	4	14	0
158	173	17	547	1.0	2018	11	9	0
159	12	17	1	1.0	2019	4	14	0
160	340	17	2	1.0	2019	3	5	0
161	141	17	174	1.0	2018	2	25	0
162	3	17	166	4.0	2018	8	19	1
163	314	17	1	3.0	2019	3	29	1
164	117	17	299	4.0	2018	8	13	1
165	98	17	95	5.0	2018	8	4	1
166	126	17	6	5.0	2019	3	2	1
167	195	17	290	3.0	2018	7	8	1
168	90	17	67	5.0	2019	2	22	1
169	149	17	6	4.0	2019	2	22	1
170	56	17	3	1.0	2019	3	7	0
171	179	0	11	5.0	2019	4	20	1
172	260	0	382	4.0	2019	4	19	1
173	335	0	93	4.0	2019	4	19	1
174	286	0	189	5.0	2019	4	18	1
175	294	0	118	4.0	2019	4	18	1
176	354	0	41	4.0	2019	4	6	1
177	120	0	243	4.0	2019	4	15	1
178	184	0	466	4.0	2019	3	7	1
179	372	0	97	5.0	2019	3	20	1
180	341	0	151	4.0	2019	4	11	1
181	277	0	46	5.0	2019	3	2	1
182	102	0	298	4.0	2019	2	15	1
183	99	0	287	4.0	2019	4	7	1
184	289	0	1665	5.0	2019	2	4	1
185	211	0	346	3.0	2019	3	2	1
186	310	0	118	3.0	2019	3	31	1
187	338	0	49	5.0	2019	4	5	1
188	221	15	17	5.0	2019	4	19	1
189	64	15	257	4.0	2019	4	20	1
190	346	15	18	1.0	2019	4	17	0
191	187	15	115	5.0	2019	4	11	1
192	361	15	375	5.0	2019	4	6	1
193	106	15	730	4.0	2019	4	7	1
194	247	15	2295	5.0	2019	4	4	1
195	100	15	201	4.0	2019	4	6	1
196	323	15	51	5.0	2019	4	10	1
197	186	15	193	4.0	2019	4	7	1
198	118	15	97	5.0	2019	3	27	1
199	370	15	332	3.0	2019	4	17	1
200	179	15	54	5.0	2019	4	12	1
201	360	15	148	5.0	2019	4	11	1
202	351	15	17	5.0	2019	4	9	1
203	76	15	90	5.0	2019	4	6	1
204	119	15	12	5.0	2019	3	30	1
205	363	15	12	4.0	2019	4	13	1
206	209	15	10	2.0	2019	4	13	0
207	359	7	11	5.0	2019	4	17	1
